time,voltage
3092.6,-78.81658859
3092.7,-78.76724269
3092.8,-78.7161563
3092.9,-78.6633885
3093,-78.60899894
3093.1,-78.5530479
3093.2,-78.49559619
3093.3,-78.43670518
3093.4,-78.37643674
3093.5,-78.31485324
3093.6,-78.25201754
3093.7,-78.18799291
3093.8,-78.12284309
3093.9,-78.05663218
3094,-77.98942469
3094.1,-77.92128547
3094.2,-77.85227969
3094.3,-77.78247286
3094.4,-77.71193072
3094.5,-77.64071932
3094.6,-77.56890492
3094.7,-77.49655398
3094.8,-77.42373317
3094.9,-77.3505093
3095,-77.27694932
3095.1,-77.20312029
3095.2,-77.12908937
3095.3,-77.05492377
3095.4,-76.98069073
3095.5,-76.90645751
3095.6,-76.83229138
3095.7,-76.75825952
3095.8,-76.68442911
3095.9,-76.61086719
3096,-76.53764073
3096.1,-76.46481653
3096.2,-76.39246125
3096.3,-76.32064137
3096.4,-76.24942314
3096.5,-76.17887259
3096.6,-76.10905549
3096.7,-76.04003733
3096.8,-75.97188329
3096.9,-75.90465821
3097,-75.8384266
3097.1,-75.77325257
3097.2,-75.70919984
3097.3,-75.64633169
3097.4,-75.58471098
3097.5,-75.52440006
3097.6,-75.46546083
3097.7,-75.40795464
3097.8,-75.3519423
3097.9,-75.29748408
3098,-75.24463965
3098.1,-75.19346807
3098.2,-75.14402779
3098.3,-75.09637658
3098.4,-75.05057158
3098.5,-75.00666919
3098.6,-74.96472514
3098.7,-74.9247944
3098.8,-74.8869312
3098.9,-74.85118898
3099,-74.8176204
3099.1,-74.78627731
3099.2,-74.75721072
3099.3,-74.73047078
3099.4,-74.70610679
3099.5,-74.68416715
3099.6,-74.66469935
3099.7,-74.64774996
3099.8,-74.63336463
3099.9,-74.62158801
3100,-74.61246382
3100.1,-74.60603476
3100.2,-74.60234253
3100.3,-74.60142781
3100.4,-74.60333025
3100.5,-74.60808844
3100.6,-74.61573991
3100.7,-74.62632109
3100.8,-74.63986735
3100.9,-74.65641292
3101,-74.67599094
3101.1,-74.69863338
3101.2,-74.72437111
3101.3,-74.75323382
3101.4,-74.78525003
3101.5,-74.82044708
3101.6,-74.85885114
3101.7,-74.90048718
3101.8,-74.94537894
3101.9,-74.99354896
3102,-75.04501856
3102.1,-75.09980782
3102.2,-75.15793557
3102.3,-75.21941941
3102.4,-75.28427568
3102.5,-75.35251944
3102.6,-75.42416452
3102.7,-75.49922344
3102.8,-75.57770746
3102.9,-75.65962656
3103,-75.74498942
3103.1,-75.83380346
3103.2,-75.92607478
3103.3,-76.02180818
3103.4,-76.1210072
3103.5,-76.22367404
3103.6,-76.32980961
3103.7,-76.43941354
3103.8,-76.55248413
3103.9,-76.66901841
3104,-76.78901207
3104.1,-76.91245953
3104.2,-77.0393539
3104.3,-77.16968701
3104.4,-77.30344937
3104.5,-77.44063023
3104.6,-77.58121751
3104.7,-77.7251979
3104.8,-77.87255678
3104.9,-78.02327825
3105,-78.17734516
3105.1,-78.33473909
3105.2,-78.49544036
3105.3,-78.65942805
3105.4,-78.82667999
3105.5,-78.99717277
3105.6,-79.17088177
3105.7,-79.34778112
3105.8,-79.52784379
3105.9,-79.71104149
3106,-79.8973448
3106.1,-80.08672306
3106.2,-80.27914448
3106.3,-80.47457611
3106.4,-80.67298384
3106.5,-80.87433242
3106.6,-81.07858549
3106.7,-81.28570558
3106.8,-81.49565411
3106.9,-81.70839143
3107,-81.92387681
3107.1,-82.14206847
3107.2,-82.36292359
3107.3,-82.58639832
3107.4,-82.8124478
3107.5,-83.04102619
3107.6,-83.27208664
3107.7,-83.50558137
3107.8,-83.74146165
3107.9,-83.97967779
3108,-84.22017923
3108.1,-84.4629145
3108.2,-84.70783125
3108.3,-84.95487629
3108.4,-85.20399558
3108.5,-85.45513427
3108.6,-85.7082367
3108.7,-85.96324644
3108.8,-86.22010631
3108.9,-86.47875836
3109,-86.73914397
3109.1,-87.00120378
3109.2,-87.26487777
3109.3,-87.53010527
3109.4,-87.79682496
3109.5,-88.06497493
3109.6,-88.33449267
3109.7,-88.60531509
3109.8,-88.87737857
3109.9,-89.15061898
3110,-89.42497165
3110.1,-89.70037147
3110.2,-89.97675286
3110.3,-90.25404981
3110.4,-90.53219591
3110.5,-90.81112436
3110.6,-91.090768
3110.7,-91.37105933
3110.8,-91.65193055
3110.9,-91.93331357
3111,-92.21514002
3111.1,-92.49734132
3111.2,-92.77984864
3111.3,-93.06259299
3111.4,-93.3455052
3111.5,-93.62851595
3111.6,-93.91155583
3111.7,-94.1945553
3111.8,-94.47744479
3111.9,-94.76015466
3112,-95.04261527
3112.1,-95.32475698
3112.2,-95.60651019
3112.3,-95.88780533
3112.4,-96.16857294
3112.5,-96.44874365
3112.6,-96.72824824
3112.7,-97.00701762
3112.8,-97.28498289
3112.9,-97.56207536
3113,-97.83822656
3113.1,-98.11336829
3113.2,-98.3874326
3113.3,-98.66035187
3113.4,-98.93205877
3113.5,-99.20248637
3113.6,-99.47156806
3113.7,-99.73923767
3113.8,-100.0054294
3113.9,-100.270078
3114,-100.5331185
3114.1,-100.7944867
3114.2,-101.0541186
3114.3,-101.3119509
3114.4,-101.5679209
3114.5,-101.8219664
3114.6,-102.0740258
3114.7,-102.3240381
3114.8,-102.5719432
3114.9,-102.8176813
3115,-103.0611934
3115.1,-103.3024214
3115.2,-103.5413078
3115.3,-103.7777957
3115.4,-104.0118292
3115.5,-104.2433531
3115.6,-104.4723131
3115.7,-104.6986555
3115.8,-104.9223277
3115.9,-105.1432779
3116,-105.361455
3116.1,-105.576809
3116.2,-105.7892909
3116.3,-105.9988524
3116.4,-106.2054463
3116.5,-106.4090264
3116.6,-106.6095473
3116.7,-106.8069648
3116.8,-107.0012358
3116.9,-107.1923179
3117,-107.3801701
3117.1,-107.5647521
3117.2,-107.7460252
3117.3,-107.9239512
3117.4,-108.0984935
3117.5,-108.2696164
3117.6,-108.4372852
3117.7,-108.6014666
3117.8,-108.7621283
